"","Leverage","SPE"
"375.036340751869",0.0014205,1.1566e-29
"411.235843453322",0.0013987,9.969e-30
"558.332921921449",0.0013247,1.0783e-29
"397.018057011885",0.0013193,1.0941e-29
"485.302105344938",0.0013178,8.8065e-30
"154.918753347978",0.0012806,9.0644e-30
"490.897799512887",0.0012789,1.0927e-29
"470.961402305465",0.0012728,1.04e-29
"292.080796118839",0.0012631,1.0053e-29
"568.659619387122",0.0012628,1.0446e-29
"458.71571230356",0.0011776,1.1361e-29
"570.350966760688",0.0011647,8.5916e-30
"509.884559554955",0.001163,1.0507e-29
"457.435994086303",0.0011516,9.9008e-30
"163.07445699628",0.00114,9.0873e-30
"461.270068125248",0.0011301,1.1879e-29
"172.094482846766",0.0011133,1.046e-29
"187.086513832185",0.0011123,7.3251e-30
"584.823234743951",0.0011081,1.0816e-29
"428.268363047227",0.0011058,8.9486e-30
"474.878814201794",0.0011021,8.6944e-30
"545.271186337867",0.0010897,9.9424e-30
"544.888241332369",0.0010879,1.1791e-29
"479.239855475075",0.0010819,7.6313e-30
"144.032230239146",0.0010752,8.9209e-30
"573.862786293199",0.0010651,8.0924e-30
"427.007211684594",0.0010598,1.1856e-29
"343.191678094131",0.0010571,8.7268e-30
"428.826397740077",0.0010569,1.1569e-29
"572.773397900842",0.0010566,9.8581e-30
"462.320041837316",0.0010538,1.0682e-29
"477.289383432169",0.0010517,9.1312e-30
"572.862395130616",0.0010468,1.0807e-29
"412.897967692699",0.0010468,8.1571e-30
"503.264864750997",0.0010404,1.089e-29
"588.258058613969",0.001037,7.4083e-30
"368.179330640256",0.001033,8.7961e-30
"477.327328716371",0.0010253,1.0261e-29
"522.857575603508",0.0010203,8.2865e-30
"583.467067938552",0.0010143,8.5378e-30
"501.213507122165",0.001014,9.1278e-30
"530.301566319394",0.001013,7.0304e-30
"315.069538926847",0.00099856,8.7268e-30
"548.275335607388",0.00099088,7.1737e-30
"470.950058690392",0.0009791,7.0986e-30
"531.306708643849",0.0009786,9.3323e-30
"489.190050407803",0.00096821,8.5176e-30
"456.234561770417",0.00096521,7.579e-30
"509.093446272403",0.00096243,8.5095e-30
"543.850111614619",0.00095778,1.0807e-29
"549.279333698682",0.0009556,1.0945e-29
"461.315895451451",0.00095435,7.6024e-30
"337.051924699071",0.00094719,7.6579e-30
"554.434662997957",0.000937,6.8964e-30
"486.363126188164",0.00093594,8.7406e-30
"501.216184266078",0.00093146,6.7022e-30
"532.402903539624",0.00092941,8.3062e-30
"505.276231206993",0.00092447,1.2106e-29
"423.162471234346",0.00092226,7.8624e-30
"592.585200439722",0.000922,8.2877e-30
"554.408977493654",0.00091483,1.1556e-29
"498.969901862264",0.00091116,7.7041e-30
"532.78673731962",0.00091078,7.9502e-30
"565.309412227076",0.00090845,6.9749e-30
"333.023652337629",0.00090637,9.2075e-30
"537.89778354914",0.00090595,1.1402e-29
"499.033414521841",0.0009015,8.268e-30
"484.229579684428",0.00090144,1.032e-29
"515.235605752788",0.00089482,9.3693e-30
"542.942881974692",0.00089054,6.0621e-30
"437.302237130103",0.00089047,1.1542e-29
"532.649372720458",0.00088765,1.1015e-29
"159.010690647287",0.00088254,7.8624e-30
"509.264026398351",0.00088014,7.3124e-30
"557.245001220223",0.00088007,7.8104e-30
"584.914641705918",0.00087806,8.2622e-30
"129.052112268658",0.00087639,1.1791e-29
"496.9095442046",0.0008723,9.3693e-30
"231.08377410166",0.00087186,9.9424e-30
"546.426494179475",0.00087152,7.5701e-30
"443.150225421684",0.0008707,6.5774e-30
"330.034095602154",0.00087054,7.2742e-30
"157.013847750044",0.00086759,7.5481e-30
"536.224878035074",0.00086643,9.7945e-30
"578.85032604942",0.00086451,5.5444e-30
"566.715219531443",0.00086384,6.8964e-30
"512.954525478156",0.00086316,6.1753e-30
"489.242456804161",0.00086212,1.0432e-29
"398.274662428582",0.00086011,1.0802e-29
"335.110079228798",0.00085955,8.1906e-30
"577.052988273957",0.00085838,6.7022e-30
"522.808246492615",0.00085734,4.9134e-30
"462.147203031336",0.00085602,1.0081e-29
"481.316495813401",0.0008514,8.6794e-30
"484.199023099097",0.0008479,9.2202e-30
"535.827310444225",0.00084745,8.5084e-30
"573.912737942363",0.00084666,7.696e-30
"512.216026712053",0.00084594,6.0251e-30
"552.955775200807",0.00084366,8.0612e-30
"550.233861983224",0.00084302,7.8705e-30
"268.944883904367",0.0008428,1.1041e-29
"576.854452669745",0.00084174,9.4987e-30
"583.731394747422",0.00084158,6.0519e-30
"505.273402880775",0.00084075,9.85e-30
"565.369632567743",0.00084009,9.6362e-30
"388.986762640939",0.00083872,8.0612e-30
"219.02177",0.00083632,5.8061e-30
"402.963432864363",0.00083543,1.0479e-29
"496.426847065798",0.00083317,1.0982e-29
"567.298789326031",0.00083309,9.1428e-30
"487.140564786586",0.00083189,8.3836e-30
"471.219830528879",0.00083073,6.4526e-30
"580.29770235421",0.00082947,1.1223e-29
"291.0838653843",0.00082726,1.1699e-29
"477.150996075384",0.00082537,8.8874e-30
"522.260427907802",0.00082409,8.0288e-30
"297.153230094827",0.00082262,1.1717e-29
"268.94332449591",0.0008211,9.3739e-30
"466.847338597383",0.0008191,1.0747e-29
"490.947202024514",0.00081903,7.7145e-30
"96.9600664779157",0.00081874,1.0145e-29
"473.430311820268",0.0008174,1.0718e-29
"579.817755116152",0.00081668,5.861e-30
"492.977563117844",0.00081279,4.6731e-30
"575.270872416683",0.00081241,7.2742e-30
"295.008202829398",0.00081205,8.2932e-30
"269.081559580732",0.0008111,8.7672e-30
"550.360277978228",0.00080896,7.5435e-30
"550.688416515056",0.00080658,7.9895e-30
"441.24053764089",0.00080101,7.9595e-30
"328.894077163629",0.00080054,7.1725e-30
"584.642737813936",0.0008001,1.1939e-29
"427.261765464438",0.00080003,1.1842e-29
"386.989622807578",0.00079892,7.6625e-30
"113.020786465597",0.00079852,1.2086e-29
"433.014443336526",0.00079816,6.5439e-30
"548.92500424738",0.0007968,9.5403e-30
"461.272448677039",0.00079627,9.7714e-30
"488.792545318736",0.00079586,8.335e-30
"479.246086030601",0.00079472,1.0783e-29
"529.291867157623",0.0007914,1.1864e-29
"218.045596963596",0.00079096,6.0181e-30
"549.871502690702",0.00079068,7.4788e-30
"545.999991226337",0.00078935,8.3524e-30
"506.152391610149",0.0007888,1.088e-29
"420.661763373601",0.00078766,1.0358e-29
"576.243794488441",0.00078467,6.5497e-30
"187.0007471311",0.00078216,5.9858e-30
"470.922701748116",0.00078126,7.5712e-30
"428.97851581583",0.00077968,1.0048e-29
"517.784940706567",0.00077953,1.0793e-29
"164.94744589467",0.00077946,7.3043e-30
"253.065629082009",0.00077852,9.5079e-30
"121.037391392206",0.00077539,4.2929e-30
"572.81204715058",0.00077538,7.4545e-30
"437.29211079582",0.00077519,1.0127e-29
"563.865486429834",0.00077389,1.1691e-29
"554.873956392038",0.00077382,6.7854e-30
"575.269404329913",0.00077005,6.9333e-30
"536.0946972109",0.00076977,8.8654e-30
"535.824244631533",0.00076948,6.6537e-30
"523.384756440575",0.00076841,7.4892e-30
"374.024999025524",0.00076781,6.8906e-30
"537.777514905298",0.00076772,7.0789e-30
"371.024597757602",0.00076765,6.7947e-30
"513.339799754144",0.00076385,9.1228e-30
"536.575204401504",0.00076308,8.5742e-30
"547.252631669558",0.00076243,6.2597e-30
"590.81526632451",0.00076154,1.0875e-29
"221.024507587745",0.00076142,9.0411e-30
"456.20442904348",0.0007604,8.8701e-30
"199.105235976951",0.00076022,1.1107e-29
"466.870554864353",0.00075991,8.2726e-30
"527.281162826368",0.00075944,7.399e-30
"382.370510987392",0.0007588,7.6267e-30
"500.22997138258",0.00075864,5.8234e-30
"552.951905463821",0.00075852,4.8395e-30
"478.909692462638",0.00075809,8.6898e-30
"121.037119259021",0.00075604,5.8367e-30
"588.260845849354",0.0007539,6.2805e-30
"573.286881619379",0.00075305,5.0105e-30
"202.957935016629",0.0007526,7.4002e-30
"320.234466554759",0.00075193,8.357e-30
"425.079871218163",0.00074977,9.518e-30
"366.912893568248",0.00074943,7.4117e-30
"454.996472260557",0.00074936,6.6329e-30
"215.079080079101",0.00074933,1.0807e-29
"399.263014881729",0.00074641,1.0377e-29
"469.312958509358",0.00074386,7.2141e-30
"565.311982925207",0.00074374,7.3805e-30
"539.785131782978",0.00074321,6.1484e-30
"522.811853858093",0.00074233,6.4804e-30
"597.251330151507",0.0007416,5.8988e-30
"598.906057888819",0.00074072,1.1864e-29
"586.60421191634",0.00073984,5.7454e-30
"541.8742016383",0.00073878,7.1032e-30
"533.961182307168",0.00073865,8.0092e-30
"396.990341171462",0.00073753,6.7161e-30
"394.282276628618",0.00073746,1.1624e-29
"540.788160665441",0.00073607,7.6683e-30
"364.91583704631",0.00073454,7.5342e-30
"344.092637250392",0.00073447,6.8779e-30
"247.057721754989",0.00073385,9.3508e-30
"539.209665818821",0.00073288,6.7069e-30
"552.993346671627",0.00073149,7.3678e-30
"208.973789402187",0.00073117,9.2225e-30
"441.046301323775",0.00073075,7.889e-30
"382.809465214818",0.00073019,9.9424e-30
"437.289977718371",0.00072999,8.6852e-30
"586.791994883584",0.00072942,6.1094e-30
"257.150947811235",0.00072694,7.696e-30
"574.858916042446",0.00072617,5.2451e-30
"506.899615921342",0.00072603,1.04e-29
"555.241035591732",0.00072584,5.0683e-30
"561.744609146644",0.00072497,4.4732e-30
"441.011380251649",0.00072423,8.2079e-30
"203.145129017333",0.00072247,1.0908e-29
"563.255988271678",0.00072226,7.7653e-30
"503.262641114856",0.00072191,7.7191e-30
"456.242357150022",0.00072067,5.8457e-30
"405.1229998473",0.00072066,9.8523e-30
"542.881013749961",0.00072031,7.1876e-30
"549.363209101277",0.00071963,5.8018e-30
"373.021648543489",0.0007194,5.5444e-30
"506.933525949651",0.00071932,5.2878e-30
"446.911987179377",0.00071903,7.7053e-30
"513.819669154338",0.00071891,7.0027e-30
"304.260946600583",0.00071833,8.075e-30
"524.306132210379",0.00071824,1.1245e-29
"479.407744543173",0.00071822,6.3001e-30
"519.999366239516",0.00071704,1.0234e-29
"569.797779499675",0.00071592,6.0216e-30
"489.338860140317",0.00071265,8.626e-30
"531.919653488795",0.00071199,6.3325e-30
"512.054491612289",0.00071194,1.1602e-29
"578.785927205729",0.0007113,5.8101e-30
"547.970429674611",0.00071034,6.8039e-30
