"","Hotelling-T2"
"80.0494247016101",102.88
"143.996821530434",93.437
"186.118085352803",86.704
"128.019164983687",86.003
"185.114755829868",80.637
"189.037254180108",78.568
"201.088595824589",78.525
"157.083449392302",76.108
"128.019411468728",73.615
"173.057414062994",70.519
"171.099062075738",66.704
"350.986897317521",66.362
"82.5369559617995",65.982
"310.937057997712",64.441
"229.140904767365",59.929
"348.989889427333",59.422
"187.072989976906",58.435
"158.086782079398",56.87
"241.068097111055",55.601
"123.041536220559",52.887
"225.14592064543",51.084
"191.104129266001",51.048
"207.078069434063",48.503
"208.081557704088",47.427
"208.037464396297",47.37
"192.107488819047",47.106
"137.057263180998",46.668
"325.234501214934",45.062
"222.906262887981",44.079
"191.101698255814",42.843
"145.026054017104",42.118
"113.020786465597",40.519
"79.0177536597713",39.287
"172.102435902754",39.195
"129.052112268658",39.036
"364.96388978586",37.846
"208.102340790925",37.835
"412.992265130484",36.193
"276.113361454226",35.774
"466.324910762978",34.711
"532.582713016049",34.614
"253.065629082009",34.611
"433.255735423808",33.95
"413.25817",33.698
"100.024210866056",33.276
"140.064344444444",33.101
"146.029489356937",33.074
"141.05207152926",33.042
"309.203476578349",32.594
"207.099060522073",32.563
"125.020854791497",32.529
"397.993611984893",31.882
"223.072944786977",31.732
"530.301566319394",31.438
"231.08377410166",30.978
"273.961967984672",30.625
"531.306708643849",30.325
"346.727093772229",29.72
"397.018057011885",29.35
"263.056032980907",29.239
"335.110079228798",29.175
"151.072878340634",29.01
"116.997964444999",28.666
"449.359865263675",28.645
"354.779606759003",27.981
"165.088546120198",27.966
"165.052159433793",27.875
"554.392787917218",27.844
"180.135788240551",27.798
"553.389265463298",27.707
"291.0838653843",27.684
"247.057721754989",27.403
"430.982476092538",27.4
"320.138933568307",27.162
"331.039922230938",26.791
"564.664660172273",26.678
"130.055521249583",26.588
"353.25961",26.572
"450.039779472196",26.346
"423.162471234346",26.326
"365.276731865042",26.193
"573.236194540453",26.16
"183.062740521405",26.155
"306.174853554875",25.902
"141.088465043868",25.475
"357.09291312756",25.189
"232.087153385584",24.927
"480.705013507499",24.813
"588.260845849354",24.726
"209.078276140812",24.674
"394.280807765",24.612
"139.036534755308",24.401
"297.091946187142",24.389
"532.298181243704",24.375
"407.188609216909",24.109
"169.083420530117",24.09
"394.282276628618",24.033
"313.065340799499",23.99
"239.161567096044",23.907
"276.114219216965",23.804
"282.957655343914",23.677
"516.745489728024",23.542
"316.069552309182",23.466
"275.109900704266",23.393
"375.036340751869",23.388
"102.091247317561",23.385
"446.957603994832",23.359
"541.120442330945",23.352
"132.079209310345",23.314
"393.082958001024",23.045
