mzmed;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20
70,5;44525,59611;178462,6114;143215,7296;60788,81792;;115360,9363;106527,7439;262652,2681;157228,7291;239650,259;53194,58147;106560,1583;182031,4861;182101,9257;69039,98948;76176,40446;95967,53306;35766,74233;273958,2529;16495,50642
71,5;75309,1968;215938,3473;42435,9379;4370,730235;292226,0228;203606,9607;297516,7775;85839,64723;221394,8182;187789,3371;;236748,2701;100451,2153;254991,6177;171261,1341;125161,787;83695,55404;40981,41856;232973,1427;210553,9313
72,5;190472,1672;170934,6639;25470,99565;220006,215;206787,7571;79002,84738;274979,686;92582,07675;51945,7231;175080,3878;21706,89117;37346,47177;237206,3296;155037,4765;;248505,5689;93148,60064;198956,1215;242016,5388;197998,276
73,5;254784,4775;184475,5043;90612,48926;115187,4881;239152,6135;231812,5577;247372,5871;294857,3548;243829,9869;233417,5675;119425,1299;62790,56102;279202,5323;55172,50252;;207449,7326;114482,0854;206460,9037;138789,5004;134971,8652
74,5;222712,4422;85420,03425;135096,7052;218210,6162;211577,0367;211596,1627;140076,3535;210348,4077;82057,58128;242253,7731;104235,0088;128014,3954;11348,22626;175844,1558;116610,8101;;177387,8659;176500,368;109646,2624;40149,05408
75,5;47396,9887;;244015,5514;183099,5125;145225,0675;230792,3137;142851,9444;;227920,8659;95331,52198;67080,30998;271822,2811;266552,1042;85427,93916;70832,05908;244434,7469;;11196,28698;137622,2435;271758,9246
76,5;254431,0082;56685,3735;226312,4845;118310,3817;49589,53538;240492,6308;72716,35989;45193,03367;271966,8321;255864,4418;79069,17419;241376,7259;266877,2333;20401,2031;236703,1362;96121,35168;156176,7353;;231969,3199;226982,913
77,5;268889,9442;184371,5339;75151,46659;271004,3958;144220,2464;143460,6621;;76664,41782;171313,033;136667,2597;1315,766369;253790,6727;226791,0002;226329,8399;222423,837;95098,19137;67163,10136;220024,0552;265708,2636;
78,5;250000,2615;154068,6551;160030,2631;65990,28035;162923,6026;297578,1795;261595,3123;21626,44058;268653,1174;233795,5786;40145,53588;203298,8345;217882,6387;95842,98801;187,5838951;99607,84872;171118,1955;165230,1445;17893,30006;
79,5;166195,3183;211708,7547;174892,6556;54072,37954;167490,1694;103680,5053;34920,15971;278254,9552;161254,3419;238483,2113;282656,999;97334,63409;213372,8583;117330,3841;288978,4831;146705,1116;227717,1357;299885,7199;;126505,3964
80,5;196176,4461;250260,7254;106062,0856;47905,43849;;299115,6153;273903,7362;111929,8106;16548,99653;117433,9269;136432,8836;273633,8312;;267322,0486;27591,43294;169458,0938;56400,30527;;48323,75319;266007,6784
81,5;58595,86232;116556,3341;271972,4767;;229200,8195;204577,1435;18700,50882;25495,15672;66849,57912;15588,29211;4148,57672;31859,47927;51703,34651;;206272,0648;22575,88687;;227545,6388;54543,37413;83680,70216
82,5;16282,61824;13214,87173;271798,5218;;;159858,2083;231629,0995;85192,67436;118828,8388;197981,815;105682,6798;256282,3805;51310,95003;;68496,29909;;;279637,5092;114740,3256;222811,6071
83,5;35383,98957;143406,9465;105548,7869;274703,5972;130055,0687;272003,2485;231414,0097;286381,763;129492,3121;216970,5107;270598,7841;155161,5441;;270747,7;;112494,4081;47099,91022;279171,7147;65696,39142;249135,7101
