"name","path","dim1","dim2"
"load_icon","www/cute.png","100","100"
"empty","www/empty.png","""100%""","1"
"empty2","www/empty.png","""100%""","1"
"empty3","www/empty.png","""100%""","1"
"empty4","www/empty.png","""100%""","1"
"cute_package","www/cat.png","80","80"
"internal_logo","www/umcinternal.png","120","120"
"login_header","www/login_icon.png","300","200"
"noise_logo","www/umcnoise.png","120","120"
"hmdb_logo","www/hmdblogo.png","150","100"
"metacyc_logo","www/metacyc.png","300","80"
"chebi_logo","www/chebilogo.png","140","140"
"wikipathways_logo","www/wikipathways.png","130","150"
"kegg_logo","www/kegglogo.gif","200","150"
"smpdb_logo","www/smpdb_logo_adj.png","200","160"
"dimedb_logo","www/dimedb_logo.png","310","120"
"wikidata_logo","www/wikidata.png","250","200"
"respect_logo","www/respect_logo.png","250","100"
"massbank_logo","www/massbank_logo.jpg","250","100"
"metabolights_logo","www/metabolights_logo.png","200","200"
"vmh_logo","www/vmh.jpg","200","200"
"foodb_logo","www/foodb_logo.png","250","90"
"pos_icon","www/handpos.png","120","120"
"neg_icon","www/handneg.png","120","120"
"excel_icon","www/excel.png","120","120"
"excel_icon_2","www/excel.png","120","120"
"db_icon","www/servers.png","150","150"
"lipidmaps_logo","www/lipidmaps.png","200","150"
"bloodexposome_logo","www/bloodexposome.png","250","200"
"csv_icon","www/office.png","100","100"
"dataset_icon","www/office.png","100","100"
"plus","www/add.png","150","150"
"sidebar_icon","www/detective.png","60","60"
"merge_icon","www/merge.png","150","150"
"db_icon","www/database.png","150","150"
"ecmdb_logo","www/ecmdb_logo.png","250","80"
"bmdb_logo","www/hmp_logo.png","150","150"
"rmdb_logo","www/hmp_logo.png","150","150"
"mvoc_logo","www/mvoc_logo.png","230","60"
"mcdb_logo","www/mcdb_logo.png","250","80"
"pamdb_logo","www/pamdb_logo.png","150","150"
"ymdb_logo","www/ymdb_logo.png","330","90"
"nanpdb_logo","www/nanpdb_logo.png","200","70"
"lmdb_logo","www/lmdb_logo.png","230","100"
"supernatural2_logo","www/supernatural2_logo.png","300","60"
"chemidplus_logo","www/chemidplus_logo.png","300","60"
"stoff_logo","www/stoff_logo.png","250","130"
"pharmgkb_logo","www/pharmgkb.png","250","130"
"reactome_logo","www/reactome_logo.png","250","130"
"knapsack_logo","www/knapsack_logo.gif","200","100"
"laptop_icon","www/laptop.png","150","150"
"metabolomicsworkbench_logo","www/metworkbench_logo.png","140","140"
"npa_logo","www/npa_logo.png","140","140"
"markerdb_logo","www/markerdb_logo.jpeg","150","150"
