"","Hotelling-T2"
"125.986182503113",141.51
"143.996821530434",139.71
"129.005040866268",113.37
"128.019164983687",111.66
"80.0494247016101",105.17
"128.019411468728",98.838
"186.118085352803",98.628
"80.0723187130947",94.324
"94.0450475749245",93.717
"189.037254180108",93.037
"153.975544521207",90.556
"90.5258362809338",74.196
"137.00176175525",73.878
"157.063743248876",73.318
"157.0815375867",72.541
"185.114755829868",71.599
"82.5369559617995",71.523
"142.034891045715",70.788
"135.965150332545",70.727
"208.035191369733",69.488
"112.006204816251",68.882
"130.01671742987",68.501
"157.083449392302",67.948
"80.0262135691628",66.896
"126.98956509536",66.538
"83.0354881918252",66.127
"201.088595824589",64.379
"70.9929637702482",63.712
"111.009421658016",62.174
"80.0487323700873",61.776
"310.937057997712",60.71
"208.037464396297",60.55
"173.057414062994",60.221
"97.5334606075149",60.132
"129.068013535813",60.064
"83.535737012535",59.975
"136.001069837527",59.235
"111.009228809589",57.147
"171.099062075738",56.835
"158.086782079398",56.655
"130.023235707944",56.329
"419.150664645087",55.883
"80.0726949629453",55.224
"179.045627089034",54.725
"350.986897317521",54.369
"81.0527522540591",53.989
"105.949076792702",53.644
"136.000512359121",53.52
"153.03028235228",53.08
"112.001567996169",52.579
"187.072989976906",51.84
"225.14592064543",51.36
"111.041555419305",51.198
"90.5250584913071",51.169
"80.0501664186546",50.873
"173.093672713088",50.798
"191.104129266001",50.741
"241.068097111055",49.565
"117.954260507536",48.977
"123.041536220559",48.436
"70.9933627921106",48.292
"161.093586980174",48.29
"137.054425568327",48.214
"207.078069434063",47.522
"222.906262887981",47.241
"124.044915832158",47.19
"229.102786793788",46.98
"92.5219949757893",46.957
"70.9920864363204",46.753
"79.0356045410682",46.361
"110.008907673871",46.255
"210.034495534583",45.872
"433.251687191103",45.639
"227.10411143619",45.576
"113.020786465597",45.406
"315.141715740518",45.104
"192.107488819047",45.092
"229.140904767365",45.052
"129.019970388286",44.72
"102.033736089757",44.499
"79.035501122924",44.391
"99.53106479228",44.109
"79.0177536597713",43.775
"191.101698255814",43.671
"157.148573061622",43.596
"208.081557704088",43.395
"373.060304797668",43.269
"367.232199803627",43.268
"433.25391681156",42.444
"141.015546902223",42.346
"129.099868674103",42.213
"157.147676553324",41.916
"373.05879888825",41.693
"184.041021531516",41.568
"348.989889427333",41.165
"172.102435902754",40.831
"160.917041818182",40.798
"215.150816499697",40.066
"151.038992883147",40.047
"295.166573565083",39.896
"157.062259962819",39.894
"199.130489728351",39.729
"121.062304415582",39.674
"168.98731074777",39.536
"214.916502834088",39.26
"185.197587942682",38.821
"73.5311966431838",38.806
"148.026902985239",38.627
"185.040172623066",38.58
"157.06284816258",38.508
"141.05207152926",38.212
"446.849709189772",38.147
"139.53093935923",38.14
"215.046576736602",37.989
"163.036356809002",37.923
"140.040456710225",37.915
"129.03689442617",37.885
"412.992265130484",37.861
"77.0083220107048",37.837
"129.052112268658",37.76
"491.940568586908",37.648
"215.069539342759",37.588
"171.10291674586",37.578
"213.086876392424",37.395
"70.9915393877755",37.34
"127.036476973832",37.297
"132.042508081422",37.296
"276.113361454226",37.199
"103.952003527079",37.198
"94.8907279535165",37.166
"433.255735423808",37.158
"306.99946286944",36.903
"325.234501214934",36.468
"115.957353508298",36.38
"340.188701214471",36.365
"214.97351027611",36.362
"235.204935819548",36.338
"162.536724734934",36.293
"170.051638275454",36.176
"194.12331454491",36.175
"352.161101104806",36.105
"228.021405243565",36.068
"96.0418526195694",36.058
"206.0069184708",36.008
"73.5317479769706",35.97
"153.031183341216",35.933
"151.03505054798",35.903
"257.043009937637",35.852
"255.15659688489",35.792
"364.96388978586",35.7
"133.96788632044",35.678
"150.016903001106",35.604
"436.968148151678",35.587
"532.582713016049",35.574
"247.112428094326",35.498
"88.0230239116937",35.46
"585.283608765613",35.156
"208.102340790925",35.068
"253.065629082009",34.91
"81.0463549374608",34.887
"281.093649458215",34.826
"158.007236982836",34.802
"184.04018223888",34.468
"145.026054017104",34.355
"229.065380821601",34.297
"209.036962279227",34.281
"110.00706678908",34.276
"185.196198163376",34.207
"100.024210866056",34.194
"137.057263180998",34.145
"122.997772873636",34.129
"119.555568297252",34.044
"92.5409661492389",34.018
"83.0385331511389",33.994
"271.064683033016",33.878
"374.945734365903",33.806
"350.831497287829",33.783
"167.012914920451",33.751
"83.0373483474867",33.65
"386.146589954489",33.526
"99.0415286528349",33.511
"224.903287311631",33.468
"70.9784494663092",33.428
"530.301566319394",33.242
"243.13545256917",33.179
"100.032723723542",33.104
"466.324910762978",33.069
"172.045375475225",32.881
"146.029489356937",32.776
"206.528975469282",32.774
"377.140789941256",32.739
"210.846116162791",32.723
"131.055635525691",32.719
"310.939629354106",32.695
"116.036156790405",32.683
"296.974591313108",32.552
"397.993611984893",32.469
"377.142635640739",32.438
"156.915778531827",32.257
"239.051484278342",32.149
"116.997964444999",32.146
"180.062699550649",32.009
"94.9279580583435",31.978
"122.997190222856",31.964
"70.9885245179365",31.96
"131.05641996968",31.786
"211.144042109927",31.688
"433.71199632708",31.605
"96.5393766312065",31.601
"131.541928668613",31.591
"79.0058515444012",31.506
"241.156510254065",31.464
"223.072944786977",31.45
"154.085768403066",31.42
"268.080016015097",31.362
"231.08377410166",31.332
"248.133927455441",31.194
"277.02670558078",31.09
"315.177703649449",31.039
"271.097573500836",30.955
"453.70048783792",30.887
"419.153267580742",30.849
"125.020854791497",30.796
"364.808356638352",30.783
"91.5422566100992",30.777
"288.030189858397",30.751
"70.9942106481631",30.699
"167.012599429072",30.685
"72.0089945633017",30.634
"413.25817",30.58
"392.754637056757",30.579
"207.099060522073",30.523
"232.087153385584",30.523
"191.191743801283",30.51
"412.717577451107",30.454
"94.8901373158248",30.444
"257.950229043217",30.389
"113.030867913771",30.373
"493.93900162769",30.245
"195.967440120086",30.201
"280.171551046546",30.161
"100.028818066655",30.133
"446.963819857301",30.129
"129.004400895858",30.077
"144.999959979804",30.026
"370.831635228257",30.004
"179.029024499106",29.985
"235.078861035106",29.946
"70.9875038063244",29.88
"86.0255773208804",29.811
"79.5163090903888",29.802
"165.942643938107",29.741
"126.025476554071",29.721
"335.110079228798",29.695
"70.9835363632288",29.675
"335.291129087603",29.659
"395.074115741334",29.653
"163.035369630529",29.506
"157.104183413065",29.499
"84.0373607352133",29.48
"70.9801237330504",29.461
"285.2035475433",29.45
"188.030716132825",29.437
"206.033516819882",29.424
"344.730072627988",29.411
"449.359865263675",29.139
"140.064344444444",28.865
"224.133859006566",28.789
"353.25961",28.75
"82.013598172173",28.737
"291.0838653843",28.702
"306.174853554875",28.699
"247.057721754989",28.586
"214.912607562652",28.459
"90.543590705998",28.446
"339.047497116586",28.405
"202.092482070858",28.403
"397.018057011885",28.372
"120.534523694501",28.347
"119.046655938855",28.319
"119.987637220877",28.255
"88.0317104815077",28.25
"281.243055144728",28.231
"78.5372865410916",28.199
"120.049987167526",28.193
"155.968029480436",28.19
"130.524604869231",28.174
"208.034372166767",28.142
"81.5198420431518",28.135
"191.108409649123",28.126
"129.099210184293",28.084
"211.109562655337",28.015
"71.0007542942671",27.953
"337.272116533069",27.95
"430.982476092538",27.947
"281.244649267823",27.911
"301.117246873274",27.909
"70.9778998618308",27.828
"177.040916323574",27.765
"217.119411514094",27.709
"266.913030935336",27.618
"178.046515301807",27.573
"343.188001018921",27.57
"166.054696967032",27.494
"320.138933568307",27.487
"86.9620119927713",27.388
"127.571142089673",27.382
"176.046535126543",27.37
"179.031483102987",27.272
"227.065731050663",27.212
"91.0273988462596",27.208
"357.09291312756",27.17
"130.055521249583",27.135
"324.964312739464",27.059
"147.018156154999",27.057
"428.13641309798",27.045
"312.076489041304",27.029
"70.9782193796726",27.029
"179.990645983982",26.999
"110.007594202264",26.993
"191.13110315126",26.98
"352.162576933907",26.974
"180.135788240551",26.916
"91.05731202514",26.858
"240.164896466328",26.834
"70.9886819621674",26.797
