"","Time","Label","Interaction"
"perm.orig",99027.6456326359,21302.6032482142,16234.2912285377
"",21752.3896700197,17291.2142775357,9868.66421663062
"",24504.3471181508,14812.2302065178,9490.499541091
"",23892.9035234072,18529.9802966968,10755.9508018124
"",29724.1407638961,17257.5854563235,8368.03398940515
"",34534.572517411,27464.8200883862,11746.1355521044
"",23466.615824848,17172.9247693877,13201.9896331015
"",24736.7564508799,15910.9289123342,12978.676131751
"",27780.7967343086,16158.0611019393,9646.43417322523
"",22416.2242910819,14006.9038090425,9045.01604682643
"",26927.9125030136,15154.2794242263,9720.32790210058
"",26190.8109748012,15181.7983679732,9700.63272425905
"",22711.0798234298,15559.8746603596,10136.7266359335
"",34483.6190208081,13872.0120741806,12352.0614281479
"",22999.595022839,15381.6276335621,9989.60519520726
"",23786.4716838434,14559.5577552527,9947.49396953839
"",22551.1652600977,17985.2510228521,9898.07740840967
"",21678.8434985895,16318.5124280666,13053.4623507191
"",34109.5534022214,16016.5871892644,8777.52838289728
"",21383.4929240477,17363.569057582,8950.92545259038
